Role	Applicable Attributes (and related rules)														
marquee	- Represents a scrolling text or image. Avoid using this role as it can be distracting and difficult for some users to follow. Consider alternative ways to present the information. &lt;br> - If used, ensure the content is also available in a non-scrolling format.														
math	- Represents mathematical content. Use MathML for better semantic representation when possible. &lt;br> - Provide an accessible name or description using aria-label or aria-describedby for screen reader users.														
menu	- Represents a set of user commands that are displayed in a menu. &lt;br> - Should have an accessible name, often via aria-labelledby referencing a related heading or label. &lt;br> - Requires specific keyboard navigation (e.g., arrow keys to move between items, Enter to activate). &lt;br> - Its children should have roles like menuitem, menuitemcheckbox, or menuitemradio. &lt;br> - aria-orientation (property): Indicates whether the menu is horizontal or vertical.														
menubar	- A presentation of menu, usually horizontal, that is intended to be always visible. &lt;br> - Inherits rules and expected attributes of menu. &lt;br> - Typically uses horizontal arrow keys for navigation between top-level items and vertical arrow keys for submenus.														
menuitem	- An option within a menu or menubar. &lt;br> - Must be focusable and activate a command when selected (e.g., via Enter key). &lt;br> - Should have an accessible name (the text of the menu item). &lt;br> - aria-disabled (state): Indicates if the menu item is disabled.														
menuitemcheckbox	- A checkable option within a menu or menubar that has two possible values: true or false. &lt;br> - Inherits rules and expected attributes of menuitem. &lt;br> - aria-checked (state): Indicates the current checked state.														
menuitemradio	- A checkable option within a menu or menubar that is part of a group of radio items, only one of which can be checked at a time. &lt;br> - Inherits rules and expected attributes of menuitem. &lt;br> - aria-checked (state): Indicates whether the current item is checked. &lt;br> - Should be contained within a radiogroup.														
navigation	- Represents a section containing navigational elements (e.g., menus, table of contents). &lt;br> - Should have an accessible name using aria-label or aria-labelledby to describe its purpose (e.g., "Main navigation", "Table of contents").														
none / presentation	- Indicates that the element serves only as a container and has no semantic meaning. &lt;br> - Should be used carefully and generally not on interactive elements, as it removes their semantic information. &lt;br> - If an element has interactive children, apply role="none" or role="presentation" to the parent and ensure the interactive children have appropriate roles.														
note	- Represents content that is ancillary to the main content but important enough to be noticed (e.g., footnotes, annotations). &lt;br> - May be associated with the main content using aria-describedby.														
option	- Represents an option within a select element or a listbox. &lt;br> - Should have an accessible name (its text content). &lt;br> - In a listbox, aria-selected (state) indicates if the option is selected.														
progressbar	- Displays the progress of a task that takes a significant amount of time. &lt;br> - Should have an accessible name, often indicating the task being performed. &lt;br> - aria-valuenow (state): The current value of the progress bar. &lt;br> - aria-valuemin (property): The minimum allowed value. &lt;br> - aria-valuemax (property): The maximum allowed value. &lt;br> - aria-valuetext (property): A human-readable text alternative of the current value.														
radio	- A checkable input in a group of radio controls, only one of which can be selected at a time. &lt;br> - Must have an accessible name, usually provided by a <label> or aria-labelledby. &lt;br> - aria-checked (state): Indicates whether the current radio button is selected. &lt;br> - Should be contained within a radiogroup.														
radiogroup	- A set of related radio controls. &lt;br> - Should have an accessible name using aria-label or aria-labelledby to describe the group. &lt;br> - Only one radio button														
region	- A perceivable section of a document, typically with a heading. Use semantic HTML5 sectioning elements (<article>, <aside>, <nav>, <section>) with headings whenever possible. &lt;br> - Should have an accessible name using aria-label or aria-labelledby to describe its purpose if a native heading is not present or sufficient.																								
row	- A row of cells within a table, grid, or treegrid. &lt;br> - Should contain elements with the cell, columnheader, or rowheader roles. &lt;br> - May have aria-rowindex to explicitly define its position within the table/grid if dynamic or complex. &lt;br> - aria-selected (state): Indicates if the row is selected in a grid or treegrid that supports row selection.																								
rowheader	- A header cell for a row in a table or grid. &lt;br> - Should be within a row with the role="row" attribute. &lt;br> - Use scope="row" on native <th> elements instead when possible. &lt;br> - aria-sort (property): Indicates if and how the related column is sorted.																								
scrollbar	- A control that enables users to adjust the viewable content within a scrolling region. &lt;br> - Should be associated with the scrollable region it controls using aria-controls. &lt;br> - aria-orientation (property): Indicates whether the scrollbar is horizontal or vertical. &lt;br> - aria-valuenow (state): The current value of the scrollbar. &lt;br> - aria-valuemin (property): The minimum allowed value. &lt;br> - aria-valuemax (property): The maximum allowed value. &lt;br> - aria-valuetext (property): A human-readable text alternative of the current value.																								
search	- A section containing a search form. &lt;br> - Should have an accessible name using aria-label or aria-labelledby (e.g., "Search").																								
searchbox	- A type of text input control where users can enter search queries. Use the <input type="search"> element for native semantics whenever possible. &lt;br> - Should have an accessible name, usually provided by an associated <label> or aria-labelledby. &lt;br> - May use aria-autocomplete to provide hints about expected input. &lt;br> - May be associated with a listbox of suggestions using aria-controls and aria-activedescendant.																								
separator	- A divider between content regions that is perceivable but does not represent a structural hierarchy. Use <hr> for a thematic break in content when appropriate. &lt;br> - May have an aria-orientation (horizontal or vertical) if the orientation is visually apparent. &lt;br> - Can be interactive, in which case it might have aria-valuenow, aria-valuemin, aria-valuemax, and aria-valuetext if it functions as a slider.																								
slider	- Allows users to select a value from within a given range. Use <input type="range"> for native semantics whenever possible. &lt;br> - Should have an accessible name, usually provided by an associated <label> or aria-labelledby. &lt;br> - aria-valuenow (state): The current value of the slider. &lt;br> - aria-valuemin (property): The minimum allowed value. &lt;br> - aria-valuemax (property): The maximum allowed value. &lt;br> - aria-orientation (property): Indicates whether the slider is horizontal or vertical. &lt;br> - aria-valuetext (property): A human-readable text alternative of the current value.																								
spinbutton	- A single-line input control that allows the user to increment or decrement a numeric value. Use <input type="number"> with appropriate constraints for native semantics whenever possible. &lt;br> - Should have an accessible name, usually provided by an associated <label> or aria-labelledby. &lt;br> - aria-valuenow (state): The current value of the spinbutton. &lt;br> - aria-valuemin (property): The minimum allowed value. &lt;br> - aria-valuemax (property): The maximum allowed value. &lt;br> - aria-valuetext (property): A human-readable text alternative of the current value. &lt;br> - aria-valuestep (property): The allowed value increment.																								
status	- A type of live region whose content is advisory information for the user but is not so important as to justify an alert. &lt;br> - Should have aria-live set to polite. &lt;br> - aria-atomic (state): Indicates whether assistive technologies will present all or only parts of the changed region.																								
summary	- A summary, caption, or legend for the content of the details element. Use the <summary> element for native semantics whenever possible. &lt;br> - Should be the first child of a details element. &lt;br> - Its text content serves as the accessible name for the details element. &lt;br> - aria-expanded (state) on the parent details element indicates whether the content is expanded or collapsed.																								
tab	- A label providing a single user interface control for a tab panel. &lt;br> - Should be contained within a tablist. &lt;br> - Should have an accessible name (its text content). &lt;br> - aria-selected (state): Indicates whether the current tab is selected. &lt;br> - aria-controls (property): Should refer to the associated tabpanel.																								
table	- Represents data arranged in rows and columns. Use the <table> element for native semantics whenever possible. &lt;br> - Should have an accessible name, typically via a <caption> element (referenced by aria-labelledby) or using aria-label. &lt;br> - Its children should have roles like row, and the children of row should have roles like cell, rowheader, or columnheader.																								
tablist	- A list of tab controls. Use <ul> or <ol> with role="tab" on the list items for non-native implementations. &lt;br> - Should have an accessible name using aria-label or aria-labelledby. &lt;br> - Requires specific keyboard navigation (e.g., arrow keys to move between tabs, Enter or Space to select). &lt;br> - aria-orientation (property): Indicates whether the tabs are arranged horizontally or vertically. &lt;br> - aria-activedescendant (property): May be used to manage focus within the tablist.																								
tabpanel	- A container for the resources associated with a tab. &lt;br> - Should be associated with its corresponding tab using aria-labelledby (referencing the tab) and the tab should control it using aria-controls. &lt;br> - Should be hidden when its associated tab is not selected.																								
term	- A term or phrase with a corresponding definition. Typically used within a <dl> list. &lt;br> - May be associated with its definition (definition role) using aria-describedby on the definition and aria-labelledby on the term (though implicit association within <dl> is preferred).																								
textbox	- A single-line or multi-line text input field where the user can enter and edit text. Use <input type="text">, <input type="email">, <textarea>, etc., for native semantics whenever possible. &lt;br> - Should have an accessible name, usually provided by an associated <label> or aria-labelledby. &lt;br> - aria-autocomplete (property): Suggests what values might be entered by the user. &lt;br> - aria-multiline (property): Indicates whether the textbox accepts more than one line of input. &lt;br> - aria-readonly (state): Indicates that the user cannot modify the value of the textbox. &lt;br> - aria-required (property): Indicates that the user must provide a value for the textbox before submitting a form. &lt;br> - aria-disabled (state): Indicates that the textbox is perceivable but not currently operable.																								
toolbar	- A collection of commonly used function buttons or controls. &lt;br> - Should have an accessible name using aria-label or aria-labelledby to describe its purpose (e.g., "Formatting toolbar"). &lt;br> - Typically contains elements with the button, radio, checkbox, combobox, etc., roles. &lt;br> - May have an aria-orientation (horizontal or vertical) if the orientation is visually apparent.																								
tooltip	- A contextual popup that displays a description for an element when the user hovers over, focuses on, or otherwise interacts with it. &lt;br> - Should be associated with the element it describes using aria-describedby. &lt;br> - Should appear and disappear dynamically without requiring user action beyond the triggering interaction. &lt;br> - Should not trap focus.																								
tree	- Represents a hierarchical list. Use <ul> or <ol> with role="treeitem" on the list items and potentially role="group" for nested levels for non-native implementations. &lt;br> - Should have an accessible name using aria-label or aria-labelledby. &lt;br> - Requires specific keyboard navigation (e.g., arrow keys to navigate, Enter to select/expand/collapse). &lt;br> - aria-activedescendant (property): Identifies the currently focused item in the tree.																								
treegrid	- A grid whose rows can be expanded and collapsed like in a tree structure. &lt;br> - Combines the features and requirements of both grid and tree. &lt;br> - Should have an accessible name. &lt;br> - Requires robust keyboard navigation for both grid and tree interactions. &lt;br> - Uses attributes from both grid (e.g., aria-rowindex, aria-colindex, aria-selected) and tree (e.g., aria-expanded, aria-level).																								
treeitem	- An option within a tree or treegrid. &lt;br> - Should be a child of an element with the tree or treegrid role or a group within the tree. &lt;br> - May contain nested treeitem or group elements. &lt;br> - aria-expanded (state): Indicates whether the item's children are expanded or collapsed. &lt;br> - aria-level (property): Indicates the level of the item in the hierarchy. &lt;br> - aria-selected (state): Indicates if the item is selected. &lt;br> - aria-activedescendant (property) on the parent tree or treegrid may point to the currently focused treeitem.																								
window	- Represents a top-level application window. This role is generally used for desktop applications and is less common in web development. For dialogs within web pages, use the dialog role. &lt;br> - Should have an accessible name, typically via aria-labelledby referencing a title bar or heading within the window. &lt;br> - Focus management is critical; focus should be set appropriately when the window is activated. &lt;br> - May have attributes like aria-modal if it prevents interaction with other parts of the application.																																											
